SERIES_NAME,COUNTRY,DATE,VALUE
Retirement Age,AFG,2018,65
Retirement Age,DZA,2018,60
Retirement Age,ARG,2018,66
Retirement Age,BHR,2018,60
Retirement Age,BGD,2018,60
Retirement Age,BIH,2018,65
Retirement Age,BRA,2018,70
Retirement Age,BDI,2018,60
Retirement Age,CAF,2018,60
Retirement Age,COG,2018,57
Retirement Age,EGY,2018,60
Retirement Age,FRA,2018,70
Retirement Age,GAB,2018,57
Retirement Age,IRQ,2018,60
Retirement Age,ISR,2018,67
Retirement Age,LBN,2018,64
Retirement Age,LBY,2018,65
Retirement Age,LUX,2018,65
Retirement Age,MKD,2018,64
Retirement Age,MLT,2018,65
Retirement Age,MUS,2018,65
Retirement Age,MNG,2018,65
Retirement Age,MNE,2018,67
Retirement Age,MAR,2018,60
Retirement Age,MOZ,2018,60
Retirement Age,NPL,2018,55
Retirement Age,OMN,2018,60
Retirement Age,PER,2018,70
Retirement Age,PHL,2018,65
Retirement Age,ROM,2018,65
Retirement Age,SAU,2018,60
Retirement Age,SEN,2018,60
Retirement Age,SRB,2018,65
Retirement Age,SYC,2018,63
Retirement Age,SGP,2018,67
Retirement Age,SDN,2018,60
Retirement Age,SWE,2018,67
Retirement Age,CHE,2018,70
Retirement Age,SYR,2018,65
Retirement Age,TWN,2018,65
Retirement Age,UZB,2018,60
Retirement Age,VNM,2018,60
Retirement Age,YEM,2018,60